,grade,module,week,question_stem,choice,correct_answer
51,6,6,2,1. The Calot's Triangle is bounded by except: (3.0分),A.Cystic duct.                                        B.The common hepatic duct.                            C.The left hepatic duct. D.The inferior border of the liver. E.None of above.,C.The left hepatic duct.
52,6,6,2,2. 目前对小肝癌定位诊断的各种方法中最优者是： (3.0分),A.CT检查                                          B.B型超声显象仪检查 C.选择性腹腔动脉或肝动脉造影                       D.放射性核素肝扫描 E.磁共振成象,C.选择性腹腔动脉或肝动脉造影                      
53,6,6,2,3. 女性，57岁，CT示肝左外叶8cm占位，伴门静脉左支栓塞，肝肾功能正常，首选治疗方案：(3.0分),A.全身化学治疗和中医治疗 B.经肝动脉化学治疗和栓塞 C.手术切除 D.肝肿瘤局部无水酒精注射 E.生物治疗,C.手术切除
54,6,6,2,4. 肝内胆管出血部位不明可采用： (3.0分),A.胃大部切除                                      B.肝固有动脉结扎及胆总管引流 C.三腔管压迫                                      D.肝叶切除 E.肝固有动脉结扎,B.肝固有动脉结扎及胆总管引流
55,6,6,2,5. 一名49岁男性，因右季肋部疼痛半月余，加重一天入院，以往健康，检查时发现血HBsAg阳性，AFP500ug/L。支持患原发性肝癌最有意义的体征是：(3.0分),A.肝区可闻及摩擦音 B.肝脏质地硬，有压痛 C.肝区可闻及血管杂音                              D.肝右肋下约4.0cm                                 E.肝区有明显叩击痛,C.肝区可闻及血管杂音                             
56,6,6,2,6. 中晚期肝癌最常见的体征是：(3.0分),A.肝肿大                                            B.腹胀 C.肝区痛                                            D.下肢浮肿 E.皮下出血,A.肝肿大                                           
57,6,6,2,7. B超显示肝内"牛眼征"常见于下列哪一种疾病(3.0分),A.肝脓肿  B.转移性肝癌  C.原发性肝癌  D.肝囊肿  E.肝包虫病 ,B.转移性肝癌 
58,6,6,2,8. Couinaud分段法将肝脏分为8段，其中尾状叶在(3.0分),A.Ⅴ段  B.Ⅰ段  C.Ⅱ段  D.Ⅲ段  E.Ⅷ段 ,B.Ⅰ段 
59,6,6,2,9. 早期肝癌是指瘤体:(3.0分),A.界限清楚无出血  B.3cm以下，不超过2个  C.微小而多个  D.单个有包膜  E.以上都是 ,B.3cm以下，不超过2个 
60,6,6,2,10. 可造成感染慢性化的肝炎病毒是：(3.0分),A.肝炎病毒A、B、E  B.肝炎病毒A、B、C  C.肝炎病毒A、C、D  D.肝炎病毒B、C、D  E.肝炎病毒C、D、E,D.肝炎病毒B、C、D 
61,6,6,2,11. 对疑有早期原发性肝癌的患者，应首先用哪一种方法检查较好：(3.0分),A.血清甲胎蛋白动态观察检查  B.肝区超声波检查  C.血清γˉ谷氨酰转肽酶  D.同位素肝扫描  E.选择性肝动脉造影 ,A.血清甲胎蛋白动态观察检查 
62,6,6,2,12. 肝硬化引起门脉高压的临床表现是：(3.0分),A.黄疸、腹水、侧枝循环的建立与开放  B.腹水、脾肿大、肾功能衰竭  C.黄疸、腹水、脾肿大  D.腹水、脾肿大、侧枝循环的建立与开放  E.腹水、上消化道出血、侧枝循环的建立与开放 ,D.腹水、脾肿大、侧枝循环的建立与开放 
63,6,6,2,13. 下列哪种机制与肝性脑病发生无关？ (3.0分),A.氨基酸失衡学说 B.氨中毒学说 C.假神经递质学说 D.GABA/BZ复合体学说 E.水钠潴留,E.水钠潴留
64,6,6,2,14. 下列不属于兴奋性神经递质的是(3.0分),A.乙酰胆碱 B.去甲肾上腺素 C.γ-氨基丁酸 D.门冬氨酸 E.多巴胺,C.γ-氨基丁酸
65,6,6,2,15. 门脉高压是指门脉压力超过 (3.0分),A.20cm H2O B.40cm H2O C.10cm H2O D.30cm H2O E.50cm H2O,A.20cm H2O
66,6,6,2,16. 在我国和西方国家，造成肝硬化的最主要原因是分别是 (3.0分),A.乙型肝炎和丙型肝炎 B.乙型肝炎和非酒精性脂肪性肝病 C.丙型肝炎和非酒精性脂肪性肝病 D.丙型肝炎和乙型肝炎 E.非酒精性脂肪性肝病和丙型肝炎,B.乙型肝炎和非酒精性脂肪性肝病
67,6,6,2,17. 肝硬化的并发症不包括 (4.0分),A.原发性肝癌 B.上消化道出血 C.肝肺综合征 D.肝性脑病 E.尿崩症,E.尿崩症
68,6,6,2,18. 男性，45岁，因患肝硬化腹水用速尿后尿量每日超过2000ml，近日出现四肢肌肉软弱无力，伴恶心呕吐，心电图出现传导和节律异常，其原因最可能是 (3.0分),A.低钾血症 B.低钠血症 C.高钾血症 D.高钠血症 E.低镁血症,A.低钾血症
69,6,6,2,19. 关于肝硬化的叙述中正确的是(3.0分),A.肝功能不全可表现为脾脏肿大 B.门脉高压可表现为出血倾向 C.亚急性重症病毒性肝炎多发展为门脉性肝硬化 D.病变特点是肝细胞坏死、纤维组织增生和假小叶形成 E.肝硬化不发生癌变,D.病变特点是肝细胞坏死、纤维组织增生和假小叶形成
70,6,6,2,20. 下列属于肝硬化门脉高压表现的是(3.0分),A.蜘蛛痣 B.肝掌 C.脾肿大 D.肝肿大 E.男性乳房发育,C.脾肿大
71,6,6,2,21. 肝硬化患者出现消化道出血时，下列可诱发肝性脑病的是(3.0分),A.静脉注射止血药 B.水电解质紊乱致低钾血症 C.输生理盐水 D.内镜下止血 E.口服去甲肾上腺素,B.水电解质紊乱致低钾血症
72,6,6,2,22. 查体于肿大的肝脏表面听到血管杂音时，应考虑 (3.0分),A.门脉血栓形成 B.原发性肝癌 C.布加综合征 D.肝硬化失代偿期 E.慢性肝炎,B.原发性肝癌
73,6,6,2,23. 男性，38岁，患肝硬化3年，一周来畏寒发热，体温38℃左右，全腹痛，腹部明显膨胀，尿量500ml/d。住院后经检查有以下体征，对目前病情判断最有意义的是 (3.0分),A.脾肿大 B.腹壁静脉曲张呈海蛇头样 C.蜘蛛痣及肝掌 D.全腹压痛及反跳痛 E.腹部移动性浊音阳性,D.全腹压痛及反跳痛
74,6,6,2,24. 下列关于门脉性肝硬化特点的叙述，不正确的是(3.0分),A.结节大小较均匀            B.病变可继续发展使结节形态不规则 C.病变早期结节间的纤维间隔较细 D.可由酒精性肝病发展而来 E.结节直径多大于3mm,E.结节直径多大于3mm
75,6,6,2,25. 与肝细胞性肝癌相比，下列哪项不是胆管细胞性肝癌的特点？(3.0分),A.大体观呈灰白色  B.AFP呈阴性表达 C.产生胆汁  D.老年多见 E.多不伴有肝硬化,C.产生胆汁 
76,6,6,2,"26. Portal hypertension in cirrhosis is caused by the following, except for(3.0分)",A.compression of central vein and branches of hepatic vein by expansile parenchyma nodules B.elevated level of blood ammonia C.increased resistance to portal flow at the level of the sinsoids D.renal retension of sodium and water due to secondary hyperaldostenosis E.anastomoses between the arterial and portal veins,B.elevated level of blood ammonia
77,6,6,2,27. Fatty change is most likely appeared in hepatitis of:(3.0分),A.HDV B.HCV C.HAV D.HBV E.HEV,B.HCV
78,6,6,2,28. Which of the following statement about hepatitis A virus is incorrect ?(3.0分),A.no carrier states  B.dose not cause cirrhosis C.fecal-oral transmission D.cause chronic hepatitis E.no connection with hepatocellular carcinoma,D.cause chronic hepatitis
79,6,6,2,29. 目前认为乙型肝炎病毒引起肝细胞损害的主要机制是：(3.0分),A.病毒直接破坏肝细胞膜 B.病毒代谢产物的损害作用 C.病毒损坏肝细胞的线粒体 D.病毒激活机体细胞免疫反应损害病毒感染的肝细胞 E.通过抗原抗体反应激活补体,D.病毒激活机体细胞免疫反应损害病毒感染的肝细胞
80,6,6,2,30. 慢性肝炎或HBsAg携带者电镜下见HBsAg主要存在于：(3.0分),A.线粒体 B.高尔基体 C.滑面内质网内 D.核糖体 E.核内,C.滑面内质网内
81,6,6,2,31. 急性重型肝炎（急性肝萎缩）与亚急性重型肝炎（亚急性肝萎缩）肉眼观形态主要区别是：(3.0分),A.有无再生结节形成 B.肝实质黄染的程度 C.肝包膜皱缩的程度  D.肝体积缩小的程度 E.出血程度,A.有无再生结节形成
82,6,6,2,32. 不属于肝硬化门脉高压的临床表现的是：(3.0分),A.蜘蛛痣 B.淤血性脾肿大 C.腹水 D.胃肠道淤血 E.食管下段静脉曲张,A.蜘蛛痣
83,6,6,2,33. 肝硬化并发肝性脑病的主要原因是：(3.0分),A.并发感染引起 B.凝血机制障碍所至出血 C.体内雌激素水平升高 D.代谢性酸中毒 E.血氨升高或中枢神经系统氨基酸代谢紊乱,E.血氨升高或中枢神经系统氨基酸代谢紊乱
363,7,6,2,1. 25.B超显示肝内"牛眼征"常见于下列哪一种疾病 (2.5分),A.转移性肝癌  B.肝脓肿  C.肝囊肿  D.原发性肝癌  E.肝包虫病 ,A.转移性肝癌 
364,7,6,2,2. 下列哪种机制与肝性脑病发生无关？ (2.5分),A.假神经递质学说 B.氨中毒学说 C.GABA/BZ复合体学说 D.氨基酸失衡学说 E.水钠潴留,E.水钠潴留
365,7,6,2,3. 早期肝癌是指瘤体 (2.5分),A.微小而多个  B.单个有包膜  C.界限清楚无出血  D.3cm以下，不超过2个  E.以上都是 ,D.3cm以下，不超过2个 
366,7,6,2,4. 自发性细菌性腹膜炎常见致病菌应是(2.5分),A.大肠杆菌和厌氧菌 B.厌氧菌和链球菌 C.大肠杆菌和副大肠杆菌 D.溶血链球菌和肺炎双球菌 E.绿脓杆菌和葡萄球菌,D.溶血链球菌和肺炎双球菌
367,7,6,2,5. 肝细胞大片崩解坏死并有肝细胞结节状再生者见于 (2.5分),A.慢性持续性肝炎  B.亚急性重型肝炎  C.慢性活动性肝炎  D.急性普通型肝炎  E.急性重型肝炎 ,B.亚急性重型肝炎 
368,7,6,2,6. 肝硬化腹水生成的机制中，不正确的说法是 (2.5分),A.血内抗利尿激素、醛固酮增高  B.肝脏合成清蛋白减少  C.结缔组织增生、肝静脉受压  D.门静脉淤血、血管壁通透性增强  E.肝窦内压力升高 ,C.结缔组织增生、肝静脉受压 
369,7,6,2,7. 男性，38岁，患肝硬化3年，一周来畏寒发热，体温38℃左右，全腹痛，腹部明显膨胀，尿量500ml/d。住院后经检查有以下体征，对目前病情判断最有意义的是 (2.5分),A.全腹压痛及反跳痛 B.蜘蛛痣及肝掌 C.腹壁静脉曲张呈海蛇头样 D.脾肿大 E.腹部移动性浊音阳性,A.全腹压痛及反跳痛
370,7,6,2,8. 碎片状坏死主要见于 (2.5分),A.亚急性重型肝炎  B.慢性肝炎  C.急性肝炎  D.急性重型肝炎  E.肝硬化 ,B.慢性肝炎 
371,7,6,2,9. 目前对小肝癌定位诊断的各种方法中最优者是： (2.5分),A.B型超声显象仪检查 B.放射性核素肝扫描 C.选择性腹腔动脉或肝动脉造影 D.CT检查 E.磁共振成象,C.选择性腹腔动脉或肝动脉造影
372,7,6,2,10. 上消化道出血的首选诊断方法是：(2.5分),A.选择性腹腔动脉或肠系膜上动脉造影 B.早期内镜检查 C.鼻胃管或三腔管检查 D.X线钡餐检查 E.核素检查,B.早期内镜检查
373,7,6,2,11. 查体于肿大的肝脏表面听到血管杂音时，应考虑(2.5分),A.肝硬化失代偿期 B.门脉血栓形成 C.布加综合征 D.原发性肝癌 E.慢性肝炎,D.原发性肝癌
374,7,6,2,12. 在我国引起肝硬变最主要原因是： (2.5分),A.慢性淤胆  B.慢性酒精中毒  C.病毒性肝炎  D.寄生虫感染  E.营养不良 ,C.病毒性肝炎 
375,7,6,2,13. 肝内胆管出血部位不明可采用： (2.5分),A.三腔管压迫 B.肝叶切除 C.胃大部切除 D.肝固有动脉结扎及胆总管引流 E.肝固有动脉结扎,D.肝固有动脉结扎及胆总管引流
376,7,6,2,14. 门脉高压是指门脉压力超过(2.5分),A.30cm H2O B.20cm H2O C.10cm H2O D.40cm H2O E.50cm H2O,B.20cm H2O
377,7,6,2,15. 男，55岁，进行性黄疸，肝功能欠佳，PT明显延长，宜选用哪种检查:(2.5分),A.经皮肝穿刺胆管造影（PTC） B.静脉胆囊造影 C.碘番酸口服胆囊造影  D.内窥镜逆行胰胆管造影（ERCP） E.胆囊穿刺置管造影,D.内窥镜逆行胰胆管造影（ERCP）
378,7,6,2,16. 下列不属于兴奋性神经递质的是 (2.5分),A.门冬氨酸 B.去甲肾上腺素 C.乙酰胆碱 D.γ-氨基丁酸 E.多巴胺,D.γ-氨基丁酸
379,7,6,2,17. 原发性肝癌早期转移途径为:(2.5分),A.肺内转移  B.淋巴转移  C.肝内转移  D.直接浸润转移  E.骨转移 ,C.肝内转移 
380,7,6,2,18. 目前肝癌早期宜采用哪一种治疗为主： (2.5分),A.手术切除  B.中医中药  C.化学疗法  D.放射疗法  E.中医中药 ,A.手术切除 
381,7,6,2,19. 我国与原发性肝癌发病最密切的因素是： (2.5分),A.黄曲霉素  B.嗜酒  C.病毒性肝炎  D.亚硝胺  E.吸烟 ,C.病毒性肝炎 
382,7,6,2,20. 下列哪个部位不存在门静脉系与腔静脉系之间的交通支：(2.5分),A.前腹壁 B.直肠下部，肛管 C.食管中段、胃底 D.胃底、食管下端  E.腹膜后,C.食管中段、胃底
383,7,6,2,21. 肝硬化患者出现消化道出血时，下列可诱发肝性脑病的是(2.5分),A.内镜下止血 B.输生理盐水 C.水电解质紊乱致低钾血症 D.静脉注射止血药 E.口服去甲肾上腺素,C.水电解质紊乱致低钾血症
384,7,6,2,22. 肝硬化引起门脉高压的临床表现是：(2.5分),A.腹水、脾肿大、肾功能衰竭  B.黄疸、腹水、脾肿大  C.黄疸、腹水、侧枝循环的建立与开放  D.腹水、脾肿大、侧枝循环的建立与开放  E.腹水、上消化道出血、侧枝循环的建立与开放 ,D.腹水、脾肿大、侧枝循环的建立与开放 
385,7,6,2,23. 女性，57岁，CT示肝左外叶8cm占位，伴门静脉左支栓塞，肝肾功能正常，首选治疗方案：(2.5分),A.全身化学治疗和中医治疗 B.经肝动脉化学治疗和栓塞 C.手术切除 D.肝肿瘤局部无水酒精注射 E.生物治疗,C.手术切除
386,7,6,2,24. 门脉高压症发生消化道出血的主要原因是：(2.5分),A.腹壁静脉曲张  B.脾肿大破裂  C.痔静脉曲张  D.食管下段和胃底静脉曲张 ,D.食管下段和胃底静脉曲张 
387,7,6,2,25. 肝硬化腹水治疗，一般不主张采用(2.5分),A.强烈利尿 B.低盐饮食 C.卧床休息 D.高蛋白饮食 E.腹水浓缩回输,A.强烈利尿
388,7,6,2,26. 早期肝癌是指瘤体:(2.5分),A.微小而多个  B.界限清楚无出血  C.3cm以下，不超过2个  D.单个有包膜  E.以上都是 ,C.3cm以下，不超过2个 
389,7,6,2,27. 关于病毒性肝炎，下列哪项是错误的 (2.5分),A.急性普通型肝炎以广泛的肝细胞变性为主  B.各型肝炎病变的性质完全相同  C.以肝实质细胞变性坏死为主要病变的传染病  D.桥接坏死常见于中、重度慢性肝炎  E.大片的溶解性坏死是重型肝炎的病变特征 ,B.各型肝炎病变的性质完全相同 
390,7,6,2,28. 不符合病毒性肝炎基本病变的是 (2.5分),A.慢性炎细胞浸润  B.肝细胞变性坏死  C.纤维组织增生  D.Kupffer细胞异型增生  E.小胆管增生 ,D.Kupffer细胞异型增生 
391,7,6,2,29. 对疑有早期原发性肝癌的患者，应首先用哪一种方法检查较好：(2.5分),A.肝区超声波检查  B.血清甲胎蛋白动态观察检查  C.同位素肝扫描  D.血清γˉ谷氨酰转肽酶  E.选择性肝动脉造影 ,B.血清甲胎蛋白动态观察检查 
392,7,6,2,30. 关于肝细胞气球样变细胞中下列哪一项改变是错误的 (2.5分),A.细胞内水分增多  B.内质网扩张、囊泡变性  C.线立体肿胀、嵴消失  D.细胞内糖原增多  E.粗面内质网核蛋白体颗粒消失 ,D.细胞内糖原增多 
393,7,6,2,31. 肝硬化的并发症不包括 (2.5分),A.原发性肝癌 B.肝肺综合征 C.肝性脑病 D.上消化道出血 E.尿崩症,E.尿崩症
394,7,6,2,32. 常伴皮肤瘙痒的肝硬化是(2.5分),A.淤血性肝硬化 B.原发性胆汁性肝硬化 C.大结节性肝硬化 D.小结节性肝硬化 E.日本血吸虫性肝硬化,B.原发性胆汁性肝硬化
395,7,6,2,33. 男性，45岁，因患肝硬化腹水用速尿后尿量每日超过2000ml，近日出现四肢肌肉软弱无力，伴恶心呕吐，心电图出现传导和节律异常，其原因最可能是(2.5分),A.高钠血症 B.高钾血症 C.低钠血症 D.低钾血症 E.低镁血症,D.低钾血症
396,7,6,2,34. 哪一种与肝癌无关 (2.5分),A.脂肪变性  B.亚硝胺  C.乙型肝炎  D.黄曲霉菌  E.肝硬化 ,A.脂肪变性 
397,7,6,2,35. 下列属于肝硬化门脉高压表现的是(2.5分),A.肝掌 B.肝肿大 C.脾肿大 D.蜘蛛痣 E.性乳房发育,C.脾肿大
398,7,6,2,36. 可造成感染慢性化的肝炎病毒是：(2.5分),A.肝炎病毒A、C、D  B.肝炎病毒A、B、C  C.肝炎病毒B、C、D  D.肝炎病毒A、B、E  E.肝炎病毒C、D、E,C.肝炎病毒B、C、D 
399,7,6,2,37. 原发性肝癌是指 (2.5分),A.肝细胞和肝外胆管上皮发生的癌  B.肝细胞和肝内胆管上皮发生的癌  C.肝细胞发生的癌  D.胆管上皮发生的癌  E.来自Kupffer细胞的恶性肿瘤 ,B.肝细胞和肝内胆管上皮发生的癌 
400,7,6,2,38. 下列属于芳香族氨基酸的是(2.5分),A.缬氨酸 B.异亮氨酸 C.亮氨酸 D.色氨酸 E.苏氨酸,D.色氨酸
401,7,6,2,39. 下列哪项对诊断门静脉高压最有特征性？ (2.5分),A.腹水  B.脾大  C.侧支循环的建立及开放  D.蜘蛛痣  E.脾功能亢进表现 ,C.侧支循环的建立及开放 
402,7,6,2,40. 有关肝性脑病错误的方法是(2.5分),A.生理盐水灌肠 B.弱酸溶液灌肠 C.乳果糖灌肠 D.肥皂水灌肠 E.硫酸镁导泻,D.肥皂水灌肠
703,8,6,2,1. 下列哪种机制与肝性脑病发生无关？ (2.0分),A.氨中毒学说 B.假神经递质学说 C.GABA/BZ复合体学说 D.氨基酸失衡学说 E.水钠潴留,E.水钠潴留
704,8,6,2,2. 以下不是细菌性肝脓肿的常见临床表现是： (2.0分),A.寒战、高烧 B.肝区剧烈疼痛 C.肋下可及肿大肝脏 D.乏力、食欲不振 E.白细胞计数增高、明显左移,B.肝区剧烈疼痛
705,8,6,2,3. 对阿米巴肝脓肿的有关论述，不正确的是： (2.0分),A.继发于阿米巴痢疾后 B.病情急剧，中毒症状严重 C.部分病人粪中查有阿米巴滋养体 D.多见棕褐色脓液，无臭味 E.白细胞计数增高不明显,B.病情急剧，中毒症状严重
706,8,6,2,4. 对细菌性肝脓肿的治疗，不正确的是： (2.0分),A.应使用较大剂量抗生素 B.单个较大脓肿可经皮穿刺置管引流 C.脓肿穿破胸腔应同时引流胸腔 D.慢性局限性厚壁脓肿可行肝叶切除 E.多发性脓肿宜经腹腔切开引流,E.多发性脓肿宜经腹腔切开引流
707,8,6,2,5. 细菌性肝脓肿治疗中一般不需要手术切开引流的脓肿是： (2.0分),A.较大表浅易穿破的脓肿 B.已穿破腹腔或胸腔的脓肿 C.位于肝右后叶壁厚的脓肿 D.位于肝左叶、穿刺易污染腹腔的脓肿 E.慢性迁延性脓肿,C.位于肝右后叶壁厚的脓肿
708,8,6,2,6. 细菌性肝脓肿中不是常见的致病菌是： (2.0分),A.大肠杆菌 B.金黄色葡萄球菌 C.厌氧链球菌 D.表皮葡萄球菌 E.类杆菌属,D.表皮葡萄球菌
709,8,6,2,7. 除下列哪种肝脏疾病外是常见需要和肝脓肿相鉴别的： (2.0分),A.肝囊肿 B.胆管细胞癌 C.转移性肝癌 D.肝腺瘤 E.肝包虫病,D.肝腺瘤
710,8,6,2,8. 下列不属于兴奋性神经递质的是(2.0分),A.γ-氨基丁酸 B.去甲肾上腺素 C.乙酰胆碱 D.门冬氨酸 E.多巴胺,A.γ-氨基丁酸
711,8,6,2,9. 下列属于芳香族氨基酸的是(2.0分),A.缬氨酸 B.亮氨酸 C.异亮氨酸 D.色氨酸 E.苏氨酸,D.色氨酸
712,8,6,2,10. 门脉高压是指门脉压力超过(2.0分),A.10cm H2O B.20cm H2O C.30cm H2O D.40cm H2O E.50cm H2O,B.20cm H2O
713,8,6,2,11. 在我国和西方国家，造成肝硬化的最主要原因是分别是(2.0分),A.乙型肝炎和非酒精性脂肪性肝病 B.乙型肝炎和丙型肝炎 C.丙型肝炎和非酒精性脂肪性肝病 D.丙型肝炎和乙型肝炎 E.非酒精性脂肪性肝病和丙型肝炎,A.乙型肝炎和非酒精性脂肪性肝病
714,8,6,2,12. 肝硬化的并发症不包括(2.0分),A.肝性脑病 B.上消化道初学 C.肝肺综合征 D.原发性肝癌 E.尿崩症,E.尿崩症
715,8,6,2,13. 自发性细菌性腹膜炎常见致病菌应是(2.0分),A.大肠杆菌和副大肠杆菌 B.溶血链球菌和肺炎双球菌 C.厌氧菌和链球菌 D.大肠杆菌和厌氧菌 E.绿脓杆菌和葡萄球菌,B.溶血链球菌和肺炎双球菌
716,8,6,2,14. 男性，45岁，因患肝硬化腹水用速尿后尿量每日超过2000ml，近日出现四肢肌肉软弱无力，伴恶心呕吐，心电图出现传导和节律异常，其原因最可能是(2.0分),A.低钾血症 B.高钾血症 C.低钠血症 D.高钠血症 E.低镁血症,A.低钾血症
717,8,6,2,15. 男性，38岁，患肝硬化3年，一周来畏寒发热，体温38℃左右，全腹痛，腹部明显膨胀，尿量500ml/d。住院后经检查有以下体征，对目前病情判断最有意义的是(2.0分),A.蜘蛛痣及肝掌 B.腹壁静脉曲张呈海蛇头样 C.脾肿大 D.全腹压痛及反跳痛 E.腹部移动性浊音阳性,D.全腹压痛及反跳痛
718,8,6,2,16. 关于肝硬化的叙述中正确的是(2.0分),A.亚急性重症病毒性肝炎多发展为门脉性肝硬化 B.病变特点是肝细胞坏死、纤维组织增生和假小叶形成 C.门脉高压可表现为出血倾向 D.肝功能不全可表现为脾脏肿大 E.肝硬化不发生癌变,B.病变特点是肝细胞坏死、纤维组织增生和假小叶形成
719,8,6,2,17. 治疗肝硬化并上消化道出血(2.0分),A.休息，低盐饮食，限制入量，补充蛋白，给利尿剂 B.休息，高热量高蛋白饮食，护肝治疗 C.休息，高热量限制蛋白饮食，输入支链氨基酸 D.休息，禁食，积极补足血容量及采用各种止血措施 E.休息，控制输液量，纠正电解质紊乱，限制蛋白质,D.休息，禁食，积极补足血容量及采用各种止血措施
720,8,6,2,18. 下列属于肝硬化门脉高压表现的是(2.0分),A.肝掌 B.蜘蛛痣 C.脾肿大 D.肝肿大 E.男性乳房发育,C.脾肿大
721,8,6,2,19. 肝硬化腹水治疗，一般不主张采用(2.0分),A.高蛋白饮食 B.低盐饮食 C.卧床休息 D.强烈利尿 E.腹水浓缩回输,D.强烈利尿
722,8,6,2,20. 常伴皮肤瘙痒的肝硬化是(2.0分),A.小结节性肝硬化 B.大结节性肝硬化 C.淤血性肝硬化 D.原发性胆汁性肝硬化 E.日本血吸虫性肝硬化,D.原发性胆汁性肝硬化
723,8,6,2,21. 肝硬化患者出现消化道出血时，下列可诱发肝性脑病的是(2.0分),A.输生理盐水 B.水电解质紊乱致低钾血症 C.静脉注射止血药 D.内镜下止血 E.口服去甲肾上腺素,B.水电解质紊乱致低钾血症
724,8,6,2,22. 查体于肿大的肝脏表面听到血管杂音时，应考虑(2.0分),A.布加综合征 B.门脉血栓形成 C.肝硬化失代偿期 D.原发性肝癌 E.慢性肝炎,D.原发性肝癌
725,8,6,2,23. 关于肝细胞气球样变细胞中下列哪一项改变是错误的(2.0分),A.细胞内糖原增多 B.细胞内水分增多 C.内质网扩张、囊泡变性 D.线立体肿胀、嵴消失 E.粗面内质网核蛋白体颗粒消失,A.细胞内糖原增多
726,8,6,2,24. 造成感染慢性化的肝炎病毒是(2.0分),A.肝炎病毒A.B.C  B.肝炎病毒A.B.E  C.肝炎病毒A.C.D  D.肝炎病毒B.C.D  E.肝炎病毒C.D.E ,D.肝炎病毒B.C.D 
727,8,6,2,25. 关于病毒性肝炎，下列哪项是错误的(2.0分),A.以肝实质细胞变性坏死为主要病变的传染病 B.各型肝炎病变的性质完全相同 C.急性普通型肝炎以广泛的肝细胞变性为主 D.桥接坏死常见于中、重度慢性肝炎 E.大片的溶解性坏死是重型肝炎的病变特征,B.各型肝炎病变的性质完全相同
728,8,6,2,26. 引起门脉高压的原因一般不包括(2.0分),A.假小叶压迫小叶下静脉 B.纤维组织压迫中央静脉 C.肝窦狭窄、闭合 D.肝动脉和门静脉之间形成吻合支 E.肝动脉与肝静脉之间形成吻合支,E.肝动脉与肝静脉之间形成吻合支
729,8,6,2,27. 早期肝癌是指瘤体(2.0分),A.单个有包膜 B.3cm以下，不超过2个 C.微小而多个 D.界限清楚无出血 E.以上都是,B.3cm以下，不超过2个
730,8,6,2,28. 肝细胞癌患者最有诊断意义的血清学指标是(2.0分),A.甲胎蛋白 B.癌胚抗原 C.碱性磷酸酶 D.酸性磷酸酶 E.γ-谷氨酰转肽酶,A.甲胎蛋白
731,8,6,2,29. 原发性肝癌是指(2.0分),A.胆管上皮发生的癌 B.肝细胞和肝内胆管上皮发生的癌 C.肝细胞发生的癌 D.肝细胞和肝外胆管上皮发生的癌 E.来自Kupffer细胞的恶性肿瘤,B.肝细胞和肝内胆管上皮发生的癌
732,8,6,2,30. 急性重型肝炎的病变性质是(2.0分),A.以肝细胞变性为主的炎症 B.以肝细胞坏死为主的炎症 C.以肝细胞增生为主的炎症 D.以汇管区渗出为主的炎症 E.以汇管区增生为主的炎症,B.以肝细胞坏死为主的炎症
733,8,6,2,31. 肝细胞大片崩解坏死并有肝细胞结节状再生者见于(2.0分),A.慢性持续性肝炎 B.慢性活动性肝炎 C.亚急性重型肝炎 D.急性普通型肝炎 E.急性重型肝炎,C.亚急性重型肝炎
734,8,6,2,32. 肝硬化腹水生成的机制中，不正确的说法是(2.0分),A.肝脏合成清蛋白减少 B.血内抗利尿激素、醛固酮增高 C.结缔组织增生、肝静脉受压 D.门静脉淤血、血管壁通透性增强 E.肝窦内压力升高,C.结缔组织增生、肝静脉受压
735,8,6,2,33. 肝硬化形成过程的基本病理变化不包括(2.0分),A.肝细胞溶解性坏死 B.肝细胞结节状再生 C.肝细胞嗜酸性坏死 D.肝细胞桥接坏死 E.纤维组织增生,C.肝细胞嗜酸性坏死
736,8,6,2,34. 碎片状坏死主要见于(2.0分),A.急性肝炎 B.慢性肝炎 C.亚急性重型肝炎 D.急性重型肝炎 E.肝硬化,B.慢性肝炎
737,8,6,2,35. 桥接坏死常见于(2.0分),A.急性重型肝炎 B.慢性轻度肝炎 C.慢性重度肝炎 D.急性普通型肝炎 E.亚急性重型肝炎,C.慢性重度肝炎
738,8,6,2,36. 下列哪项既与门脉高压有关，又与肝功能障碍有关(2.0分),A.侧支循环建立 B.胃肠道淤血水肿 C.脾大 D.黄疸 E.腹水,E.腹水
739,8,6,2,37. 下列哪项对诊断门静脉高压最有特征性？(2.0分),A.脾大 B.腹水 C.侧支循环的建立及开放 D.蜘蛛痣 E.脾功能亢进表现,C.侧支循环的建立及开放
740,8,6,2,38. 哪一种与肝癌无关(2.0分),A.黄曲霉菌 B.亚硝胺 C.乙型肝炎 D.脂肪变性 E.肝硬化,D.脂肪变性
741,8,6,2,39. The Calot's Triangle is bounded by except: (2.0分),A.Cystic duct. B.The left hepatic duct. C.The common hepatic duct. D.The inferior border of the liver. E.None of above.,B.The left hepatic duct.
